n_estimators,learning_rate,max_depth,max_features,lambda_reg,gamma,subsample,val_accuracy
10,0.1,4,25,1,0,0.8,0.849939976
10,0.1,4,50,1,0,0.8,0.858743497
10,0.1,4,100,1,0,0.8,0.879151661
10,0.1,5,25,1,0,0.8,0.847539016
10,0.1,5,50,1,0,0.8,0.887555022
10,0.1,5,100,1,0,0.8,0.896758703
10,0.1,6,25,1,0,0.8,0.859143657
10,0.1,6,50,1,0,0.8,0.904361745
10,0.1,6,100,1,0,0.8,0.916366547
10,0.3,4,25,1,0,0.8,0.87354942
10,0.3,4,50,1,0,0.8,0.893157263
10,0.3,4,100,1,0,0.8,0.897158864
10,0.3,5,25,1,0,0.8,0.871548619
10,0.3,5,50,1,0,0.8,0.903161265
10,0.3,5,100,1,0,0.8,0.918367347
10,0.3,6,25,1,0,0.8,0.87555022
10,0.3,6,50,1,0,0.8,0.917166867
10,0.3,6,100,1,0,0.8,0.916766707
10,0.5,4,25,1,0,0.8,0.871548619
10,0.5,4,50,1,0,0.8,0.889155662
10,0.5,4,100,1,0,0.8,0.898359344
10,0.5,5,25,1,0,0.8,0.866346539
10,0.5,5,50,1,0,0.8,0.902761104
10,0.5,5,100,1,0,0.8,0.909163665
10,0.5,6,25,1,0,0.8,0.884353741
10,0.5,6,50,1,0,0.8,0.911964786
10,0.5,6,100,1,0,0.8,0.913165266
